   Tag       NO2      Temp     Wind
 1.000    66.000    -2.900    2.700
 2.000    70.000    -2.100    2.300
 3.000    80.000    -2.200    1.400
 4.000    82.000    -3.200    1.000
 5.000    58.000    -5.800    2.100
 6.000    50.000    -8.700    2.600
 7.000    52.000    -8.400    3.100
 8.000    56.000    -4.000    4.000
 9.000    54.000    -2.600    2.700
10.000    34.000      .900    4.900
11.000    48.000    -2.900    2.000
12.000    38.000    -2.900    3.000
13.000    60.000    -4.100     .900
14.000    58.000    -5.100    2.500
15.000    48.000     -.900    1.800
16.000    50.000     1.200    2.200
17.000    66.000    -1.800     .900
18.000    94.000     -.200     .500
19.000   116.000     4.100    1.100
20.000   106.000     3.500    2.500
21.000   108.000     3.100    3.200
22.000    76.000     4.700    2.400
23.000    82.000     4.400    2.900
24.000    88.000     7.800    3.100
25.000   104.000     8.200    1.800
26.000   122.000     7.100     .500
27.000   112.000     2.800     .800
28.000    76.000     4.900    2.000
