Geneid	HER21	HER22	HER23	NonTNBC1	NonTNBC2	NonTNBC3	Normal1	Normal2	Normal3	TNBC1	TNBC2	TNBC3
ENSG00000223972	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227232	4	6	5	9	17	9	31	45	46	6	14	2
ENSG00000278267	0	2	0	1	1	0	3	1	4	0	0	1
ENSG00000243485	0	0	0	1	0	0	0	0	0	1	0	1
ENSG00000284332	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237613	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000268020	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240361	0	0	0	0	1	3	0	0	0	3	0	3
ENSG00000186092	0	0	0	0	1	3	0	0	0	0	0	0
ENSG00000238009	0	0	0	1	0	1	0	2	2	3	0	2
ENSG00000239945	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233750	0	0	1	1	3	2	6	3	1	3	0	1
ENSG00000268903	1	0	1	1	0	4	17	11	9	3	3	1
ENSG00000269981	2	0	2	2	1	0	7	24	10	1	0	1
ENSG00000239906	0	1	1	0	0	0	0	4	0	2	0	0
ENSG00000241860	1	9	1	5	2	0	3	8	7	3	3	2
ENSG00000222623	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000241599	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279928	0	0	0	5	4	2	0	0	0	3	2	2
ENSG00000279457	5	13	10	25	20	12	32	25	48	25	12	11
ENSG00000273874	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228463	4	6	4	6	17	17	4	26	13	9	7	10
ENSG00000286448	0	0	0	1	1	0	0	0	0	2	0	3
ENSG00000236679	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000236601	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000237094	8	15	3	2	4	2	8	14	7	10	3	2
ENSG00000269732	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000284733	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250575	0	0	0	1	0	0	1	2	2	0	1	0
ENSG00000278757	1	0	1	0	0	0	0	1	0	0	0	0
ENSG00000230021	0	1	0	3	0	1	1	2	4	1	1	0
ENSG00000235146	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225972	9	22	5	21	18	14	11	4108	21	9	6	7
ENSG00000225630	65	259	45	161	47	151	162	202	7707	113	24	24
ENSG00000237973	241	545	243	3414	510	275	231	18676	453	473	212	290
ENSG00000278791	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229344	11	30	22	21	13	18	12	2061	29	20	6	13
ENSG00000240409	1	2	1	14	5	6	0	0	1	6	2	1
ENSG00000248527	675	1803	802	1272	1245	1416	6380	11274	12130	3031	587	1391
ENSG00000198744	17	43	20	35	21	48	919	2578	120	106	26	35
ENSG00000268663	0	0	0	0	0	1	0	0	0	5	0	2
ENSG00000284662	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376	0	1	0	0	0	2	1	0	1	1	1	0
ENSG00000228327	15	44	26	26	23	7	17	51	41	18	9	9
ENSG00000223181	2	2	1	0	0	0	0	0	0	0	0	0
ENSG00000229905	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000237491	79	132	76	24	48	34	2	6	5	122	24	23
ENSG00000285268	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230092	24	5	16	28	8	12	2	4	2	17	4	5
ENSG00000177757	19	11	12	22	10	7	6	4	4	23	9	8
ENSG00000228794	122	133	152	182	192	167	162	491	762	128	93	127
ENSG00000225880	8	8	13	8	18	18	17	16	12	31	9	5
ENSG00000230368	0	0	4	0	5	4	2	0	0	4	2	1
ENSG00000234711	0	1	0	1	1	4	1	0	3	2	2	1
