## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/rg/Case_001_N.coordSorted.rg.bam] OUTPUT=Case_001_N.coordSorted.rg.dedup.bam METRICS_FILE=Case_001_N_dedup.metrics.txt OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Nov 13 14:36:15 CET 2019

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Case_001_N	25	2803	2	25	14	101	1	0.038359	38316

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	1.000344
2.0	1.93012
3.0	2.794307
4.0	3.597532
5.0	4.344094
6.0	5.037992
7.0	5.68294
8.0	6.282392
9.0	6.839556
10.0	7.357417
11.0	7.838746
12.0	8.28612
13.0	8.701935
14.0	9.088418
15.0	9.447636
16.0	9.781515
17.0	10.09184
18.0	10.380274
19.0	10.648361
20.0	10.897537
21.0	11.129135
22.0	11.344395
23.0	11.54447
24.0	11.730431
25.0	11.903274
26.0	12.063924
27.0	12.213242
28.0	12.352026
29.0	12.481019
30.0	12.600914
31.0	12.71235
32.0	12.815925
33.0	12.912194
34.0	13.001672
35.0	13.084838
36.0	13.162137
37.0	13.233983
38.0	13.30076
39.0	13.362827
40.0	13.420516
41.0	13.474135
42.0	13.523972
43.0	13.570293
44.0	13.613346
45.0	13.653363
46.0	13.690556
47.0	13.725126
48.0	13.757257
49.0	13.787121
50.0	13.814879
51.0	13.840679
52.0	13.864658
53.0	13.886946
54.0	13.907662
55.0	13.926916
56.0	13.944812
57.0	13.961446
58.0	13.976906
59.0	13.991276
60.0	14.004632
61.0	14.017046
62.0	14.028584
63.0	14.039308
64.0	14.049276
65.0	14.05854
66.0	14.067151
67.0	14.075155
68.0	14.082594
69.0	14.089508
70.0	14.095934
71.0	14.101907
72.0	14.107459
73.0	14.112619
74.0	14.117415
75.0	14.121873
76.0	14.126016
77.0	14.129867
78.0	14.133447
79.0	14.136773
80.0	14.139866
81.0	14.14274
82.0	14.145411
83.0	14.147894
84.0	14.150201
85.0	14.152346
86.0	14.15434
87.0	14.156193
88.0	14.157915
89.0	14.159516
90.0	14.161004
91.0	14.162387
92.0	14.163672
93.0	14.164867
94.0	14.165977
95.0	14.167009
96.0	14.167968
97.0	14.16886
98.0	14.169688
99.0	14.170459
100.0	14.171175

