## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/rg/Case_001_T.coordSorted.rg.bam] OUTPUT=Case_001_T.coordSorted.rg.dedup.bam METRICS_FILE=Case_001_T_dedup.metrics.txt OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true ADD_PG_TAG_TO_READS=true REMOVE_DUPLICATES=false ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Nov 13 14:36:21 CET 2019

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Case_001_T	20	3008	2	20	9	131	0	0.044897	33524

## HISTOGRAM	java.lang.Double
BIN	VALUE
1.0	0.999999
2.0	1.91418
3.0	2.749906
4.0	3.513911
5.0	4.21235
6.0	4.850849
7.0	5.434553
8.0	5.968164
9.0	6.455982
10.0	6.901935
11.0	7.309616
12.0	7.682311
13.0	8.023022
14.0	8.334493
15.0	8.619234
16.0	8.879539
17.0	9.117505
18.0	9.335048
19.0	9.533923
20.0	9.71573
21.0	9.881934
22.0	10.033875
23.0	10.172777
24.0	10.299758
25.0	10.415842
26.0	10.521964
27.0	10.618978
28.0	10.707667
29.0	10.788744
30.0	10.862864
31.0	10.930622
32.0	10.992566
33.0	11.049194
34.0	11.100961
35.0	11.148287
36.0	11.191551
37.0	11.231102
38.0	11.267258
39.0	11.300312
40.0	11.330529
41.0	11.358153
42.0	11.383407
43.0	11.406493
44.0	11.427598
45.0	11.446891
46.0	11.464529
47.0	11.480654
48.0	11.495394
49.0	11.508869
50.0	11.521188
51.0	11.53245
52.0	11.542746
53.0	11.552157
54.0	11.560761
55.0	11.568627
56.0	11.575818
57.0	11.582391
58.0	11.588401
59.0	11.593894
60.0	11.598917
61.0	11.603508
62.0	11.607705
63.0	11.611542
64.0	11.61505
65.0	11.618257
66.0	11.621188
67.0	11.623868
68.0	11.626318
69.0	11.628558
70.0	11.630605
71.0	11.632477
72.0	11.634188
73.0	11.635752
74.0	11.637182
75.0	11.63849
76.0	11.639685
77.0	11.640777
78.0	11.641776
79.0	11.642689
80.0	11.643524
81.0	11.644287
82.0	11.644985
83.0	11.645622
84.0	11.646205
85.0	11.646738
86.0	11.647226
87.0	11.647671
88.0	11.648078
89.0	11.64845
90.0	11.648791
91.0	11.649102
92.0	11.649386
93.0	11.649646
94.0	11.649884
95.0	11.650101
96.0	11.6503
97.0	11.650481
98.0	11.650647
99.0	11.650799
100.0	11.650938

