#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
CallGenome		workflow	0	0	0	0			CallWorkflow
makeTmpDir	CallGenome	command	1	2048	0	1			mkdir -p /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir
callGenomeSegment_chromId_000_1_0000	CallGenome	command	1	1536	0	0	makeTmpDir		/software/UHTS/Analysis/strelka/2.9.6/libexec/strelka2 --region 1:1-11855068 --ref /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/reference/Homo_sapiens.GRCh38.dna.primary_assembly.fa --max-indel-size 49 --call-regions-bed /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/targets/KRAS_TP53_CDKN2C_targets_GRCh38.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticIndelScoringModels.json --normal-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_N.coordSorted.rg.dedup.bam --tumor-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_T.coordSorted.rg.dedup.bam --somatic-snv-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0000.vcf --somatic-indel-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0000.vcf --stats-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_1_0000.xml
fixVcfHeader_chromId_000_1_0000	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_000_1_0000		"/usr/bin/python2" -E "/software/UHTS/Analysis/strelka/2.9.6/libexec/vcfCmdlineSwapper.py" "/software/UHTS/Analysis/strelka/2.9.6/bin/configureStrelkaSomaticWorkflow.py --tumorBam /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_T.coordSorted.rg.dedup.bam --normalBam /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_N.coordSorted.rg.dedup.bam --referenceFasta /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/reference/Homo_sapiens.GRCh38.dna.primary_assembly.fa --callRegions /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/targets/KRAS_TP53_CDKN2C_targets_GRCh38.bed.gz --exome --runDir ./strelka" < "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0000.vcf" > "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0000.vcf.reheader.tmp" && mv "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0000.vcf.reheader.tmp" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0000.vcf" && "/usr/bin/python2" -E "/software/UHTS/Analysis/strelka/2.9.6/libexec/vcfCmdlineSwapper.py" "/software/UHTS/Analysis/strelka/2.9.6/bin/configureStrelkaSomaticWorkflow.py --tumorBam /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_T.coordSorted.rg.dedup.bam --normalBam /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_N.coordSorted.rg.dedup.bam --referenceFasta /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/reference/Homo_sapiens.GRCh38.dna.primary_assembly.fa --callRegions /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/targets/KRAS_TP53_CDKN2C_targets_GRCh38.bed.gz --exome --runDir ./strelka" < "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0000.vcf" > "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0000.vcf.reheader.tmp" && mv "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0000.vcf.reheader.tmp" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0000.vcf"
compressSegmentOutput_chromId_000_1_0000	CallGenome	command	1	2048	0	1	fixVcfHeader_chromId_000_1_0000		"/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0000.vcf" && "/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0000.vcf"
callGenomeSegment_chromId_000_1_0001	CallGenome	command	1	1536	0	0	makeTmpDir		/software/UHTS/Analysis/strelka/2.9.6/libexec/strelka2 --region 1:11855069-23710136 --ref /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/reference/Homo_sapiens.GRCh38.dna.primary_assembly.fa --max-indel-size 49 --call-regions-bed /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/targets/KRAS_TP53_CDKN2C_targets_GRCh38.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticIndelScoringModels.json --normal-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_N.coordSorted.rg.dedup.bam --tumor-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_T.coordSorted.rg.dedup.bam --somatic-snv-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0001.vcf --somatic-indel-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0001.vcf --stats-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_1_0001.xml --strelka-skip-header
compressSegmentOutput_chromId_000_1_0001	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_000_1_0001		"/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0001.vcf" && "/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0001.vcf"
callGenomeSegment_chromId_000_1_0002	CallGenome	command	1	1536	0	0	makeTmpDir		/software/UHTS/Analysis/strelka/2.9.6/libexec/strelka2 --region 1:23710137-35565204 --ref /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/reference/Homo_sapiens.GRCh38.dna.primary_assembly.fa --max-indel-size 49 --call-regions-bed /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/targets/KRAS_TP53_CDKN2C_targets_GRCh38.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticIndelScoringModels.json --normal-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_N.coordSorted.rg.dedup.bam --tumor-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_T.coordSorted.rg.dedup.bam --somatic-snv-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0002.vcf --somatic-indel-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0002.vcf --stats-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_1_0002.xml --strelka-skip-header
compressSegmentOutput_chromId_000_1_0002	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_000_1_0002		"/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0002.vcf" && "/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0002.vcf"
callGenomeSegment_chromId_000_1_0003	CallGenome	command	1	1536	0	0	makeTmpDir		/software/UHTS/Analysis/strelka/2.9.6/libexec/strelka2 --region 1:35565205-47420272 --ref /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/reference/Homo_sapiens.GRCh38.dna.primary_assembly.fa --max-indel-size 49 --call-regions-bed /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/targets/KRAS_TP53_CDKN2C_targets_GRCh38.bed.gz --min-mapping-quality 20 --somatic-snv-rate 0.0001 --shared-site-error-rate 0.0000000005 --shared-site-error-strand-bias-fraction 0.0 --somatic-indel-rate 0.000001 --shared-indel-error-factor 2.2 --tier2-min-mapping-quality 0 --strelka-snv-max-filtered-basecall-frac 0.4 --strelka-snv-max-spanning-deletion-frac 0.75 --strelka-snv-min-qss-ref 15 --strelka-indel-max-window-filtered-basecall-frac 0.3 --strelka-indel-min-qsi-ref 40 --ssnv-contam-tolerance 0.15 --indel-contam-tolerance 0.15 --somatic-snv-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticSNVScoringModels.json --somatic-indel-scoring-model-file /software/UHTS/Analysis/strelka/2.9.6/share/config/somaticIndelScoringModels.json --normal-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_N.coordSorted.rg.dedup.bam --tumor-align-file /data/courses/cancergenomics/SomaticVariantCalling_CancerGenomics_2019/dedup/Case_001_T.coordSorted.rg.dedup.bam --somatic-snv-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0003.vcf --somatic-indel-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0003.vcf --stats-file /data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_1_0003.xml --strelka-skip-header
compressSegmentOutput_chromId_000_1_0003	CallGenome	command	1	2048	0	1	callGenomeSegment_chromId_000_1_0003		"/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.snvs.unfiltered.chromId_000_1_0003.vcf" && "/software/UHTS/Analysis/strelka/2.9.6/libexec/bgzip" "/data/users/student06/day2/part34/strelka/workspace/genomeSegment.tmpdir/somatic.indels.unfiltered.chromId_000_1_0003.vcf"
