#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
CallGenome		complete	0	2019-11-13T14:11:50.945946Z
makeTmpDir	CallGenome	complete	0	2019-11-13T14:03:50.702611Z
callGenomeSegment_chromId_000_1_0000	CallGenome	complete	0	2019-11-13T14:04:07.628307Z
fixVcfHeader_chromId_000_1_0000	CallGenome	complete	0	2019-11-13T14:07:48.922290Z
compressSegmentOutput_chromId_000_1_0000	CallGenome	complete	0	2019-11-13T14:07:51.552006Z
callGenomeSegment_chromId_000_1_0001	CallGenome	complete	0	2019-11-13T14:03:59.861154Z
compressSegmentOutput_chromId_000_1_0001	CallGenome	complete	0	2019-11-13T14:10:18.753225Z
callGenomeSegment_chromId_000_1_0002	CallGenome	complete	0	2019-11-13T14:10:54.038493Z
compressSegmentOutput_chromId_000_1_0002	CallGenome	complete	0	2019-11-13T14:10:56.709687Z
callGenomeSegment_chromId_000_1_0003	CallGenome	complete	0	2019-11-13T14:08:58.886092Z
compressSegmentOutput_chromId_000_1_0003	CallGenome	complete	0	2019-11-13T14:09:13.704756Z
callGenomeSegment_chromId_000_1_0004	CallGenome	complete	0	2019-11-13T14:11:03.850803Z
compressSegmentOutput_chromId_000_1_0004	CallGenome	complete	0	2019-11-13T14:11:07.713408Z
callGenomeSegment_chromId_000_1_0005	CallGenome	complete	0	2019-11-13T14:04:17.016171Z
compressSegmentOutput_chromId_000_1_0005	CallGenome	complete	0	2019-11-13T14:09:43.963372Z
callGenomeSegment_chromId_000_1_0006	CallGenome	complete	0	2019-11-13T14:05:10.350701Z
compressSegmentOutput_chromId_000_1_0006	CallGenome	complete	0	2019-11-13T14:09:58.368490Z
callGenomeSegment_chromId_000_1_0007	CallGenome	complete	0	2019-11-13T14:08:43.494447Z
compressSegmentOutput_chromId_000_1_0007	CallGenome	complete	0	2019-11-13T14:08:48.183400Z
callGenomeSegment_chromId_000_1_0008	CallGenome	complete	0	2019-11-13T14:09:08.522951Z
compressSegmentOutput_chromId_000_1_0008	CallGenome	complete	0	2019-11-13T14:09:54.367926Z
callGenomeSegment_chromId_000_1_0009	CallGenome	complete	0	2019-11-13T14:04:26.832830Z
compressSegmentOutput_chromId_000_1_0009	CallGenome	complete	0	2019-11-13T14:05:53.866695Z
callGenomeSegment_chromId_000_1_0010	CallGenome	complete	0	2019-11-13T14:06:02.914340Z
compressSegmentOutput_chromId_000_1_0010	CallGenome	complete	0	2019-11-13T14:07:35.384656Z
callGenomeSegment_chromId_000_1_0011	CallGenome	complete	0	2019-11-13T14:06:31.140182Z
compressSegmentOutput_chromId_000_1_0011	CallGenome	complete	0	2019-11-13T14:06:35.152195Z
callGenomeSegment_chromId_000_1_0012	CallGenome	complete	0	2019-11-13T14:04:36.586929Z
compressSegmentOutput_chromId_000_1_0012	CallGenome	complete	0	2019-11-13T14:05:43.175158Z
callGenomeSegment_chromId_000_1_0013	CallGenome	complete	0	2019-11-13T14:08:53.536265Z
compressSegmentOutput_chromId_000_1_0013	CallGenome	complete	0	2019-11-13T14:11:00.053220Z
callGenomeSegment_chromId_000_1_0014	CallGenome	complete	0	2019-11-13T14:04:47.268657Z
compressSegmentOutput_chromId_000_1_0014	CallGenome	complete	0	2019-11-13T14:04:59.050974Z
callGenomeSegment_chromId_000_1_0015	CallGenome	complete	0	2019-11-13T14:08:13.499653Z
compressSegmentOutput_chromId_000_1_0015	CallGenome	complete	0	2019-11-13T14:08:18.231699Z
callGenomeSegment_chromId_000_1_0016	CallGenome	complete	0	2019-11-13T14:05:28.166867Z
