	PVALUE	QVALUE	PROV_PVALUE	SIFT_PVALUE
ENSG00000000460	0.9416007298604979	1.0	0.7682	0.883
ENSG00000000938	0.11204832212587124	0.7314762669133021	0.146	0.1617
ENSG00000000971	0.06238481492953807	0.6203002645993623	0.0612	0.1862
ENSG00000001084	0.003378928365921907	0.2725372484618591	0.014	0.0272
ENSG00000001460	0.5897566654966644	1.0	0.5925	0.4137
ENSG00000001497	0.5866999754166946	1.0	0.4656	0.5218
ENSG00000001629	0.9294128798096544	1.0	0.7156	0.9064
ENSG00000001630	0.5831045950745192	1.0	0.6085	0.3951
ENSG00000001631	0.042719247703707275	0.5631591148897325	0.1051	0.0685
ENSG00000002549	0.010908127846898985	0.3912252368787947	0.0532	0.0272
ENSG00000002746	0.9355647256794501	1.0	0.808	0.8208
ENSG00000003096	0.17293619931740378	0.8296771903328529	0.603	0.0685
ENSG00000003147	0.5269868215951009	1.0	0.3264	0.6225
ENSG00000003402	0.5067803982126649	1.0	0.2967	0.6429
ENSG00000003436	0.813093430231681	1.0	0.6073	0.7488
ENSG00000003509	0.16579201823933842	0.8182810562054305	0.3011	0.1298
ENSG00000003989	0.9843989140647613	1.0	0.874	0.9481
ENSG00000004139	0.8697786086930231	1.0	0.6713	0.7973
ENSG00000004399	0.8719662122655938	1.0	0.6111	0.8816
ENSG00000004534	0.4422392096192118	1.0	0.7271	0.2119
ENSG00000004766	0.1272455051796768	0.7558284367746307	0.205	0.1354
ENSG00000004777	0.13642800969114832	0.7722102487596852	0.6284	0.0483
ENSG00000004846	0.10031137859860473	0.7155924372680714	0.1926	0.1066
ENSG00000004848	0.9992413035210354	1.0	0.9613	1.0
ENSG00000004866	0.05587737053628894	0.6083983683613697	0.0824	0.1209
ENSG00000004897	0.9999781719252483	1.0	0.9934	1.0
ENSG00000004948	0.9959007812279164	1.0	0.9613	0.9475
ENSG00000005007	0.8533084034038068	1.0	0.665	0.7667
ENSG00000005022	0.9926139309745635	1.0	0.9934	0.8868
ENSG00000005108	0.967900354901743	1.0	0.9934	0.7626
ENSG00000005156	0.8630296996585396	1.0	0.7275	0.7211
ENSG00000005187	0.5687313563151595	1.0	0.6318	0.3648
ENSG00000005339	0.0005366499395593749	0.22402631087251912	0.0026	0.0189
ENSG00000005379	0.2757704726747343	0.9434174331504552	0.538	0.1441
ENSG00000005471	0.036663996628374385	0.5279826513491033	0.0875	0.0685
ENSG00000005483	0.056936080917574294	0.61167542926529	0.0942	0.1082
ENSG00000005486	0.8156025435789069	1.0	0.6543	0.6999
ENSG00000005513	0.6847662505733634	1.0	0.6372	0.5024
ENSG00000005700	0.9493855757101445	1.0	0.9064	0.7714
ENSG00000005810	0.7363037572589455	1.0	0.4856	0.7587
ENSG00000005844	0.012590329865652228	0.4062038004023587	0.0532	0.0321
ENSG00000005955	0.6661078583795044	1.0	0.6498	0.468
ENSG00000005961	0.90946369627627	1.0	0.7304	0.8295
ENSG00000006016	0.965305026661063	1.0	0.8338	0.8976
ENSG00000006025	0.9853483759640518	1.0	0.9971	0.8362
ENSG00000006071	0.9992413035210354	1.0	0.9613	1.0
ENSG00000006114	0.05790938788235733	0.6127768266213744	0.1519	0.0685
ENSG00000006116	0.6632061053452962	1.0	0.4267	0.707
ENSG00000006118	0.9857271482989509	1.0	0.8834	0.9462
ENSG00000006194	0.36215948793935215	1.0	0.3374	0.3387
ENSG00000006282	0.798096869803883	1.0	0.9934	0.4391
ENSG00000006283	0.04132143427515156	0.5522154495634436	0.0169	0.4093
ENSG00000006432	0.2926190259115017	0.9582022589943938	0.1951	0.4317
ENSG00000006453	0.27748036291732836	0.9454476041717278	0.116	0.6741
ENSG00000006555	0.6671795064355138	1.0	0.4494	0.6787
ENSG00000006576	0.923817381769567	1.0	0.9984	0.637
ENSG00000006611	0.1250611133735735	0.754376745442491	0.5621	0.0483
ENSG00000006712	0.1737693470255074	0.8319728322463107	0.3568	0.1165
ENSG00000006715	0.9679664521409022	1.0	0.9117	0.8312
ENSG00000006740	0.25301295897946696	0.9166486043405039	0.2438	0.2823
ENSG00000006756	0.0016985620373627386	0.2597721674234296	0.0028	0.0629
ENSG00000006788	0.026230861523014015	0.49552506271346386	0.1054	0.0382
ENSG00000006831	0.4704045172568373	1.0	0.39	0.4347
ENSG00000006837	0.03732256331774375	0.5308290328022487	0.2251	0.0272
ENSG00000007047	0.9601648459540916	1.0	0.8014	0.9126
ENSG00000007062	0.8954893717329828	1.0	0.7076	0.8185
ENSG00000007171	0.977384429164801	1.0	0.999	0.7958
ENSG00000007174	0.9759030543989541	1.0	0.8279	0.9526
ENSG00000007202	0.9999781719252483	1.0	0.9934	1.0
ENSG00000007237	0.21115528788138416	0.8792681678395443	0.2224	0.2421
ENSG00000007314	0.04466783640880756	0.5709541397261138	0.0772	0.0984
ENSG00000007384	0.6157181156176585	1.0	0.6782	0.3894
ENSG00000007402	0.3639994869329116	1.0	0.3609	0.319
ENSG00000007541	0.16526166170396572	0.8169790211655725	0.2155	0.1806
ENSG00000007944	0.35313996480272913	1.0	0.2614	0.4214
ENSG00000007952	0.8582301157906203	1.0	0.7164	0.722
ENSG00000007968	0.5360672551962384	1.0	0.3454	0.6049
ENSG00000008056	0.9954296717220299	1.0	0.9613	0.9424
ENSG00000008196	0.4694689597049111	1.0	0.4531	0.373
ENSG00000008197	0.21920926892592663	0.8835178790499995	0.1637	0.3459
ENSG00000008226	0.683210789302716	1.0	0.7467	0.4269
ENSG00000008256	0.9319527179965515	1.0	0.9613	0.6809
ENSG00000008277	0.3787896940148212	1.0	0.4186	0.2916
ENSG00000008294	0.12242962104451705	0.7495737355665443	0.1624	0.1627
ENSG00000008300	0.9989258249024429	1.0	0.9998	0.9542
ENSG00000008311	0.6508301412788686	1.0	0.7679	0.3796
ENSG00000008441	0.9960783187622518	1.0	0.9613	0.9495
ENSG00000008710	0.9170974372314973	1.0	1.0	0.6215
ENSG00000008735	0.9953149719214892	1.0	0.9613	0.9412
ENSG00000008869	0.07896946178262831	0.6604130978547225	0.1548	0.0984
ENSG00000009307	0.8001957288620944	1.0	0.7176	0.6114
ENSG00000009335	0.7839583191614075	1.0	0.665	0.6309
ENSG00000009413	0.8263747064318837	1.0	0.8335	0.5663
ENSG00000009694	0.30995106618630486	0.9776010906779844	0.3049	0.2996
ENSG00000009724	0.9088727230749002	1.0	0.9858	0.6134
ENSG00000009790	0.8515605110525267	1.0	0.745	0.6809
ENSG00000009950	0.9967480567104287	1.0	0.9613	0.9575
ENSG00000009954	0.13212816558753893	0.7617070120127718	0.2321	0.1255
ENSG00000010030	0.7001169764996387	1.0	0.4461	0.7484
ENSG00000010165	0.7674005565305467	1.0	0.7554	0.5308
ENSG00000010219	0.5564485998654176	1.0	0.4693	0.4735
ENSG00000010282	0.9568635992982182	1.0	0.8532	0.8451
ENSG00000010292	0.6930919154226176	1.0	0.481	0.6809
ENSG00000010322	0.886292498497453	1.0	0.9934	0.5665
ENSG00000010671	0.001957847349827291	0.2597721674234296	0.001	0.2064
ENSG00000010818	0.8470593273199603	1.0	0.8219	0.6092
ENSG00000010932	0.3288237164570852	0.9937851804687798	0.3428	0.2899
ENSG00000011021	0.324681817622267	0.9916788948801678	0.7427	0.1314
ENSG00000011028	0.3495489000541241	1.0	0.3897	0.2785
ENSG00000011083	0.9416458910567644	1.0	0.8727	0.7774
ENSG00000011114	0.24030495616531966	0.905216509534166	0.3775	0.1699
