	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16
d1_0	0	0.0863156	0.0401143	0.0247527	0.0168469	0.01236	0.00918179	0.0071871	0.00565239	0.00448735	0.00358168	0.00290776	0.00234411	0.00191503	0.00149067	0.00129108	0.00131093
d1_1	0.253984	0.011637	0.00718805	0.00564399	0.00466224	0.00397964	0.00347352	0.00323958	0.00280561	0.00248639	0.00221399	0.00199609	0.0018086	0.00156858	0.00145871	0.00139606	0.00177671
d1_2	0.0928674	0.00779676	0.00469278	0.00362095	0.00302764	0.00263044	0.00233288	0.00219245	0.00198669	0.00187664	0.00180362	0.00162277	0.00151672	0.00148178	0.00144172	0.00136756	0.00216589
d1_3	0.0451046	0.0056773	0.00350778	0.00273904	0.00239307	0.0020277	0.00191664	0.00175649	0.00161029	0.00154271	0.00146827	0.00143902	0.00140935	0.00131218	0.00137726	0.0015128	0.00258643
d1_4	0.024925	0.00445944	0.00280622	0.00228198	0.00186694	0.00173385	0.00160332	0.00151604	0.00149916	0.00136123	0.0013419	0.00128626	0.00124344	0.00133805	0.00136963	0.00147112	0.0029348
d1_5	0.0149774	0.00325886	0.00226279	0.00177498	0.0017206	0.00154568	0.00144525	0.00135287	0.00125178	0.00126265	0.00118204	0.00121496	0.00119248	0.00130405	0.00136514	0.00157805	0.0034066
d1_6	0.00900846	0.00252463	0.00185894	0.00147792	0.00137109	0.00131192	0.00120793	0.00119842	0.00115648	0.00113632	0.00111735	0.00117938	0.00115005	0.0011444	0.00131725	0.00155794	0.00395722
d1_7	0.00575543	0.00194219	0.00147178	0.00130852	0.00111842	0.00110924	0.00102382	0.00103727	0.00101269	0.00103968	0.00106353	0.00110262	0.00117458	0.00111921	0.00128357	0.00153245	0.00469267
d1_8	0.00370621	0.0014037	0.00114735	0.00104771	0.00092598	0.000896777	0.000908069	0.000899707	0.000959283	0.000929828	0.000924255	0.000937569	0.000938397	0.00109632	0.00121048	0.00164093	0.00543981
d1_9	0.00230736	0.00110922	0.000879709	0.000769684	0.000779794	0.000783482	0.00074993	0.000776857	0.000758368	0.000819877	0.000794073	0.000817324	0.000921867	0.000975981	0.00109218	0.00152467	0.00631746
d1_10	0.0014042	0.000684873	0.000640962	0.000608001	0.000595808	0.000604656	0.000625081	0.000637143	0.000627599	0.000677425	0.000691107	0.000739471	0.000800317	0.000924908	0.00107213	0.00143756	0.00741394
d1_11	0.000740985	0.000469016	0.000419694	0.000412373	0.000450412	0.000443419	0.000506207	0.000502686	0.000543724	0.000629388	0.000568077	0.00061842	0.000733452	0.000811487	0.0008927	0.00125237	0.0083645
d1_12	0.000297162	0.000239502	0.000203007	0.000269921	0.000279777	0.000332815	0.000364737	0.000396129	0.000406903	0.00047259	0.000509333	0.000596846	0.000660857	0.000750657	0.000871153	0.00115259	0
