	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16
d1_0	0	0.0835262	0.0403186	0.0254983	0.0181297	0.0136544	0.0104072	0.00810249	0.00644019	0.00515114	0.00397618	0.00321899	0.00244077	0.00189825	0.00152285	0.00109505	0.00121484
d1_1	0.260547	0.00489623	0.00443565	0.00399938	0.00364205	0.00334404	0.00300913	0.00262662	0.00238674	0.00209415	0.00176317	0.00158536	0.00131579	0.00111932	0.000985276	0.000796849	0.00122443
d1_2	0.0889635	0.00403726	0.00380186	0.0034586	0.00319106	0.00292147	0.00272948	0.00247707	0.00212394	0.00203902	0.00176236	0.00158606	0.00134306	0.00119193	0.00102743	0.000921144	0.00168452
d1_3	0.0430045	0.00337091	0.00312917	0.00299126	0.00277574	0.00254003	0.00234691	0.00226737	0.00208309	0.00194212	0.00169437	0.00167875	0.00140744	0.00126715	0.00116829	0.00100396	0.00224729
d1_4	0.0241502	0.0028172	0.0026472	0.00245258	0.0024426	0.00229547	0.00216349	0.00207716	0.0019389	0.00183169	0.00165414	0.00152459	0.00146329	0.00132762	0.00123991	0.00109044	0.00274406
d1_5	0.0148116	0.00224907	0.00216949	0.00217848	0.00203145	0.00197676	0.00187388	0.00183197	0.00178416	0.00172357	0.00161525	0.00151943	0.00142541	0.00136238	0.00128265	0.00118752	0.00338025
d1_6	0.00899162	0.00173679	0.00171547	0.00170347	0.00169549	0.00164188	0.00168431	0.001654	0.00168102	0.00155142	0.00150198	0.00143032	0.00142233	0.00135952	0.00127247	0.00126996	0.00400247
d1_7	0.00583099	0.0013342	0.0014247	0.00139268	0.0013361	0.00140063	0.00141135	0.0014155	0.00140834	0.00142791	0.00135513	0.00137635	0.00139014	0.00136805	0.00130978	0.00130672	0.00505331
d1_8	0.00363027	0.00100558	0.00108109	0.00110491	0.00110571	0.00115078	0.0011586	0.00120894	0.00122321	0.00123318	0.00124929	0.00128068	0.00129467	0.00123521	0.00129505	0.00131469	0.0059027
d1_9	0.00223761	0.000725058	0.000794259	0.000831258	0.000842465	0.000977259	0.000938403	0.000989727	0.00107202	0.00108234	0.00111964	0.00107805	0.00114938	0.00126787	0.00119241	0.00122742	0.0067997
d1_10	0.00131843	0.000507517	0.000522206	0.000587164	0.000622921	0.000751828	0.000746028	0.00082268	0.000806074	0.00087645	0.00097309	0.000991562	0.00104409	0.00109208	0.00117881	0.00114965	0.00804135
d1_11	0.000664559	0.000337653	0.000388277	0.00040642	0.000453679	0.000518606	0.000534115	0.000635765	0.000650872	0.000709032	0.000790967	0.000841042	0.000867561	0.000924514	0.000975357	0.00108271	0.00914418
d1_12	0.000326753	0.000201363	0.00025762	0.000271995	0.000297966	0.000402653	0.000438938	0.000506974	0.000555074	0.00061616	0.00074016	0.000820632	0.000875499	0.000968042	0.00107723	0.00122135	0
