	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16
d1_0	0	0.0826107	0.0402165	0.0257121	0.0181949	0.013545	0.0106278	0.00825981	0.00646758	0.00519923	0.00410824	0.00323309	0.0024601	0.00204623	0.00154196	0.00109904	0.00134036
d1_1	0.253363	0.00507206	0.00456375	0.00413113	0.0036355	0.00332706	0.00311124	0.00262452	0.00239166	0.00202224	0.00178661	0.0015705	0.00131662	0.00115268	0.00102159	0.00083536	0.00132088
d1_2	0.0885038	0.00416052	0.00390491	0.00361528	0.00312901	0.00297688	0.0026914	0.00241557	0.00222703	0.00200672	0.00184434	0.00156694	0.00138867	0.00121441	0.00108193	0.0008998	0.00167296
d1_3	0.0435577	0.00350974	0.00319094	0.00301784	0.00280753	0.002595	0.00244479	0.00223983	0.00213309	0.00196826	0.00177781	0.00158166	0.00145443	0.00129659	0.00116205	0.00101168	0.00221059
d1_4	0.0248487	0.00278924	0.00256786	0.00253395	0.00248778	0.0022672	0.0021692	0.00215244	0.00199513	0.00184603	0.00164858	0.00159636	0.00145113	0.00143926	0.00124698	0.00111598	0.00290962
d1_5	0.0152654	0.0023094	0.00215072	0.00214346	0.00204957	0.00192801	0.00194152	0.00188414	0.00174761	0.00172465	0.00167088	0.00156385	0.00146197	0.0013794	0.0013001	0.00123876	0.00340926
d1_6	0.0096437	0.00177944	0.00173815	0.00176583	0.00176882	0.00170993	0.0017171	0.00169225	0.00160779	0.00157817	0.0015266	0.00147096	0.0014462	0.00138963	0.0012943	0.00120677	0.00433696
d1_7	0.0059199	0.0013935	0.00141366	0.00139316	0.00143013	0.00140506	0.00151446	0.00142564	0.00138226	0.00139522	0.00140201	0.00131831	0.00137423	0.00134251	0.00128929	0.0012955	0.00505477
d1_8	0.00390656	0.00105169	0.00107883	0.00112177	0.00110749	0.00118573	0.00115049	0.00123745	0.00132544	0.00131402	0.00126381	0.00127687	0.00131494	0.00124389	0.00124389	0.00127764	0.00600104
d1_9	0.00228279	0.000741326	0.000821338	0.000844832	0.000892623	0.000937208	0.000977007	0.00108757	0.00105717	0.00106687	0.00111753	0.00113453	0.00115595	0.00124367	0.00124002	0.00127202	0.00684621
d1_10	0.00129278	0.000525606	0.000570705	0.000615537	0.000669196	0.000694556	0.00081336	0.000781287	0.00086359	0.000901356	0.000951512	0.00101562	0.000988087	0.00117029	0.00118265	0.00115251	0.00784412
d1_11	0.000759308	0.000364077	0.000403459	0.000410922	0.000436818	0.000519494	0.000565854	0.000573519	0.00070129	0.000700397	0.00082575	0.000847516	0.000881747	0.000948051	0.00103009	0.00106191	0.00922118
d1_12	0.000365565	0.000202596	0.000254873	0.000334311	0.000332078	0.000394401	0.000447608	0.000535977	0.000583416	0.00066918	0.000798663	0.000838289	0.000906751	0.00104516	0.00117837	0.0011832	0
