Foundation	Replicate	AgeFirstReproduction	FemaleStarvationResistance	EarlyFecundity	PeakFecundity	Size	Generation
Ad	Ad1	4	30	62	56	1.233322694	6
Ad	Ad1	3	30	84	52	1.198744329	6
Ad	Ad1	3	42	86	74	1.170305343	6
Ad	Ad1	4	48	84	90	1.233716452	6
Ad	Ad1	3	48	89	92	1.184978775	6
Ad	Ad1	3	36	91	84	1.181428645	6
Ad	Ad1	12	24	0	0	1.141540327	6
Ad	Ad1	3	36	60	62	1.215575609	6
Ad	Ad1	3	MV	89	MV	MV	6
Ad	Ad1	12	18	0	0	1.182504152	6
Ad	Ad1	4	30	29	45	1.192835903	6
Ad	Ad1	4	36	88	85	1.208481575	6
Ad	Ad1	4	24	10	11	1.078370213	6
Ad	Ad1	3	30	95	105	1.187669451	6
Ad	Ad1	3	36	70	104	1.221454169	6
Ad	Ad1	3	42	83	32	1.236070326	6
Ad	Ad1	3	42	111	95	1.218148069	6
Ad	Ad1	4	42	44	42	1.211774083	6
Ad	Ad1	4	MV	2	MV	MV	6
Ad	Ad1	12	6	0	0	1.184192897	6
Ad	Ad1	5	30	11	15	1.221936717	6
Ad	Ad1	MV	MV	MV	MV	MV	6
Ad	Ad1	4	36	35	13	1.268531301	6
Ad	Ad1	5	42	58	139	1.186307943	6
Ad	Ad1	5	30	13	52	1.237870441	11
Ad	Ad1	6	42	8	62	1.238691414	11
Ad	Ad1	4	36	55	104	1.229097999	11
Ad	Ad1	4	30	65	71	1.218621522	11
Ad	Ad1	4	MV	30	MV	1.120465816	11
Ad	Ad1	3	36	54	30	1.21595862	11
Ad	Ad1	5	48	44	164	1.200208463	11
Ad	Ad1	4	42	28	81	1.222024327	11
Ad	Ad1	4	48	40	140	1.179152955	11
Ad	Ad1	4	42	71	52	1.213431293	11
Ad	Ad1	4	36	66	153	1.233049897	11
Ad	Ad1	4	36	66	118	1.251744563	11
Ad	Ad1	5	42	48	25	1.222765638	11
Ad	Ad1	4	42	55	165	1.235343087	11
Ad	Ad1	4	MV	28	58	MV	11
Ad	Ad1	6	MV	1	MV	MV	11
Ad	Ad1	4	MV	20	MV	MV	11
Ad	Ad1	MV	MV	MV	MV	MV	11
Ad	Ad1	4	30	11	30	1.19247102	14
Ad	Ad1	3	42	52	144	1.200968635	14
Ad	Ad1	4	36	66	162	1.20555172	14
Ad	Ad1	3	48	85	138	1.209403126	14
Ad	Ad1	5	36	17	97	1.21802101	14
Ad	Ad1	4	30	47	115	1.220055069	14
Ad	Ad1	3	42	125	189	1.221688132	14
Ad	Ad1	3	36	92	159	1.222408338	14
Ad	Ad1	4	30	54	124	1.227000684	14
Ad	Ad1	3	48	82	150	1.227301753	14
Ad	Ad1	3	42	72	109	1.230111142	14
Ad	Ad1	4	48	74	123	1.230479218	14
Ad	Ad1	4	42	60	148	1.235298992	14
Ad	Ad1	3	48	121	172	1.255173461	14
Ad	Ad1	4	42	80	123	1.274575546	14
Ad	Ad1	4	18	52	22	1.197046354	14
Ad	Ad1	4	42	73	165	1.205116733	14
Ad	Ad1	3	42	76	156	1.246869477	14
Ad	Ad1	3	30	88	43	1.215409891	18
Ad	Ad1	4	42	52	98	1.150742669	18
Ad	Ad1	5	30	25	63	1.26661153	18
Ad	Ad1	3	36	81	133	1.108938705	18
Ad	Ad1	3	30	81	95	1.209915086	18
Ad	Ad1	4	36	58	121	1.188508619	18
Ad	Ad1	12	6	0	0	1.130863475	18
Ad	Ad1	4	24	5	0	1.212723367	18
Ad	Ad1	4	42	60	92	1.218572617	18
Ad	Ad1	3	42	68	75	1.191313179	18
Ad	Ad1	4	48	68	149	1.209384859	18
Ad	Ad1	4	36	50	113	1.182726732	18
Ad	Ad1	3	42	117	86	1.206742584	18
Ad	Ad1	3	12	4	14	1.278715219	18
Ad	Ad1	MV	MV	MV	MV	MV	18
Ad	Ad1	MV	MV	0	MV	MV	18
Ad	Ad1	MV	MV	MV	MV	MV	18
Ad	Ad1	MV	MV	MV	MV	MV	18
Ad	Ad1	4	42	57	143	1.210060103	22
Ad	Ad1	3	24	6	11	1.208468961	22
Ad	Ad1	4	36	44	122	1.191413035	22
Ad	Ad1	4	36	82	182	1.243117525	22
Ad	Ad1	3	48	55	50	1.179325619	22
Ad	Ad1	3	42	64	154	1.221163983	22
Ad	Ad1	3	36	105	134	1.208895034	22
Ad	Ad1	3	36	55	155	1.214576983	22
Ad	Ad1	3	42	71	139	1.238818239	22
Ad	Ad1	7	42	0	45	1.202264992	22
Ad	Ad1	9	48	0	49	1.228390687	22
Ad	Ad1	4	36	43	94	1.187908791	22
Ad	Ad1	5	36	27	62	1.20933219	22
Ad	Ad1	3	36	109	167	1.21948304	22
Ad	Ad1	4	36	19	30	1.23158181	22
Ad	Ad1	7	42	0	37	1.202775717	22
Ad	Ad1	4	36	84	144	1.212408182	22
Ad	Ad1	4	36	10	40	1.223153188	22
Ad	Ad1	4	36	38	94	MV	22
Ad	Ad1	MV	MV	MV	MV	MV	22
Ad	Ad1	MV	MV	0	MV	MV	22
Ad	Ad1	MV	MV	MV	MV	MV	22
Ad	Ad1	MV	MV	MV	MV	MV	22
Ad	Ad1	4	36	58	128	MV	22
Ad	Ad2	3	30	85	62	1.243338206	6
Ad	Ad2	4	42	52	103	MV	6
Ad	Ad2	9	24	0	10	1.221840134	6
Ad	Ad2	9	42	0	87	1.21259119	6
Ad	Ad2	10	12	0	1	1.069360107	6
Ad	Ad2	4	18	20	21	1.154157811	6
Ad	Ad2	4	36	28	25	1.204002888	6
Ad	Ad2	MV	MV	MV	MV	MV	6
Ad	Ad2	6	36	1	27	1.23744612	6
Ad	Ad2	7	30	0	3	1.210819992	6
Ad	Ad2	3	30	72	103	1.203769509	6
Ad	Ad2	3	MV	96	115	MV	6
Ad	Ad2	3	24	83	41	1.189543004	6
Ad	Ad2	4	30	13	3	1.19183114	6
Ad	Ad2	4	48	30	41	MV	6
Ad	Ad2	3	48	119	129	1.213328232	6
Ad	Ad2	3	24	33	35	1.226787506	6
Ad	Ad2	4	48	21	4	1.196757092	6
Ad	Ad2	8	36	0	5	1.160948246	6
Ad	Ad2	3	42	71	101	1.186703149	6
Ad	Ad2	3	42	67	129	1.194735832	6
Ad	Ad2	4	42	39	47	1.210721022	6
Ad	Ad2	3	48	34	57	1.187806014	6
Ad	Ad2	3	42	94	35	1.234023391	6
Ad	Ad2	4	6	93	128	1.220854574	11
Ad	Ad2	5	48	35	105	1.212563761	11
Ad	Ad2	4	48	60	110	1.188453909	11
Ad	Ad2	3	48	101	147	1.230777703	11
Ad	Ad2	4	MV	52	MV	1.086424754	11
Ad	Ad2	3	36	71	124	1.204979594	11
Ad	Ad2	3	48	100	175	1.215461837	11
Ad	Ad2	4	48	58	137	1.209159853	11
Ad	Ad2	3	6	102	112	1.162890208	11
Ad	Ad2	3	36	79	153	1.209403304	11
Ad	Ad2	3	30	76	103	1.194507763	11
Ad	Ad2	3	42	94	132	1.220413197	11
Ad	Ad2	3	36	109	182	1.221842475	11
Ad	Ad2	4	36	44	79	1.195001598	11
Ad	Ad2	5	30	27	81	1.19527882	11
Ad	Ad2	MV	MV	0	MV	MV	11
Ad	Ad2	3	MV	68	MV	MV	11
Ad	Ad2	3	MV	MV	MV	MV	11
