Geschlecht	Alter	GebMonat	Herkunft	Kgroesse	Kgewicht	MonMiete	Rauchen	ZufZiffer	AnzGeschw	Studium
M	25	3	CH	178	65	450	0	7	2	B
M	23	7	CH	182	70	590	0	3	3	B
M	21	4	CH	178	72	450	2	8	1	B
M	25	5	CH	176	62.5	-	2	7	2	B
M	24	4	CH	181	70	-	1	6	2	B
W	23	3	CH	157	50	-	0	7	2	I
M	30	10	Sri Lanka	167	63	-	0	3	2	B
W	21	7	CH	172	57	0	0	3	1	B
W	22	7	CH	164	45	0	0	7	1	B
W	30	4	CH	164	54	609	0	9	2	B
W	22	12	CH	168	60	0	0	8	0	B
M	25	1	CH	173	80	0	0	1	3	I
W	22	3	CH	177	60	0	0	3	2	I
W	23	2	CH	163	45	0	0	4	1	B
W	21	9	CH	163	53	0	0	8	1	B
W	45	7	Egypt	163	59	0	0	6	4	B
M	22	12	CH	171	62	450	1	3	1	B
W	23	8	CH	170	70	-	1	7	3	B
W	23	5	CH	165	56	-	0	9	1	B
W	22	12	CH	160	51	-	0	8	1	B
W	30	9	CH	154	55	800	1	8	1	BioMed
W	24	6	CH	165	54	600	2	7	4	I
M	26	3	CH	180	77	550	2	6	1	B
M	23	2	CH	170	65	550	2	1	0	I
M	24	6	CH	168	61	500	0	6	2	I
M	29	7	CH	176	66	120	1	6	1	I
M	24	2	CH	193	84	600	0	5	1	B
M	24	3	CH	176	76	600	0	7	1	B
M	31	4	CH	192	80	800	1	5	2	B
W	37	1	Italy	162	54	1600	0	4	1	C
M	28	7	CH	186	84	600	2	5	3	C
W	22	5	CH	162	60	0	0	7	1	B
W	23	5	CH	168	53	300	0	3	2	B
M	26	11	CH	185	85	800	0	4	2	I
W	24	3	CH	166	53	485	0	7	2	BioChem
M	24	2	CH	171	76	450	0	7	1	Geo
M	27	5	CH	198	96	570	0	1	1	I
M	24	1	Finland	185	68	360	0	6	3	Climate Science
W	25	5	Ungarn	187	72	1700	0	2	1	B
M	21	1	CH	178	68	-	0	5	1	I
M	21	10	Australia/Lebanon	177	68	620	0	9	2	I
M	25	2	CH	178	73	-	0	3	2	B
M	31	1	CH	162	54	-	0	2	1	I
M	23	5	CH	180	75	-	1	8	1	B
M	20	9	CH	156	53	593	0	5	2	B
W	21	3	CH	156	58	-	0	7	2	B
W	21	11	CH	159	62	-	0	2	1	B
W	46	10	CH	183	70	-	0	8	2	B
M	46	12	Haiti	165	54	-	0	7	4	I
M	24	5	CH	178	65	-	0	7	1	B
