Sex	Age	Month	Origin	Height	Weight	Rent	Smoking	Random	Siblings	Studies
W	25	2	SUI	170	64	530	2	7	1	B
W	23	6	SUI	164	58	550	0	8	1	B
W	21	1	SUI	165	51	280	0	9	2	B
W	22	7	GER	172	60	700	0	5	1	B
W	24	7	SUI	180	64	470	2	7	2	I
W	24	3	GER	170	62	590	0	5	2	B
W	23	7	SUI	167	58	500	0	3	1	B
M	21	2	SUI	167	70	?	1	6	2	B
W	29	8	AUT	160	54	750	0	8	1	B
W	31	3	SUI	162	60	750	0	7	0	I
W	23	8	ROC	168	55	610	0	8	1	S
M	25	11	SUI	180	65	600	0	6	2	B
M	32	4	GRE	179	66	500	1	7	1	I
W	22	2	MEX	166	63	660	0	5	2	I
W	22	12	IND	155	57	650	0	2	1	I
M	30	3	ARG	178	78	500	0	7	3	I
W	25	2	CZE	165	60	1050	0	7	1	B
W	34	4	SUI	170	70	1100	0	5	1	B
W	21	12	SUI	170	60	?	0	8	1	B
M	24	24	SUI	176	73	700	0	0	2	B
W	23	6	SUI	170	52	650	0	6	3	B
W	27	6	ITA	165	54	1075	0	3	2	B
W	32	7	SUI	170	75	1100	0	4	3	B
W	22	7	SUI	168	68	?	0	4	2	B
W	21	9	SUI	168	65	653	0	5	2	B
M	28	3	SUI	175	70	680	1	7	2	B
M	22	8	SUI	176	65	630	0	2	1	B
M	23	12	SUI	198	92	550	2	5	1	B
M	23	9	SUI	167	53	560	0	0	2	B
M	22	9	SUI	178	69	690	1	3	2	B
W	23	5	SUI	162	60	?	0	8	2	B
W	23	9	SUI	153	53	605	0	7	0	B
W	22	5	SUI	163	55	?	0	2	1	B
M	22	11	SUI	183	?	?	0	4	1	B
M	25	6	GER	197	?	850	1	7	1	B
W	21	4	SUI	165	60	?	0	9	3	B
M	37	1	IND	168	90	1200	0	7	2	I
W	30	8	SUI	171	55	690	0	6	1	B
W	28	10	ITA	156	51	900	0	8	0	?
M	31	2	SUI	190	76	850	0	1	1	I
M	28	3	SUI	184	80	500	2	3	1	I
M	32	1	SUI	178	74	640	1	5	2	B
W	22	12	SUI	160	53	?	1	2	2	B
M	21	11	MEX	166	54	600	0	0	4	I
W	21	11	SUI	173	62	?	1	7	2	B
W	33	12	ITA	159	52	?	0	7	0	B
M	24	7	SUI	180	70	?	0	6	1	B
