. Sequence file : [C:\Users\thsch\AppData\Local\Temp\seaview_tmp6.phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Number of 	Gamma shape	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	categories	parameter  	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #1	28   	-40220.46053	Yes        	4        	0.014    	0.000    	 0.33416   0.22508   0.24269   0.19807	-0.80257   0.12695   0.53203   0.14359  
      	     	          	           	          	           	             	                                      	 0.18847  -1.06766   0.19330   0.68590  
      	     	          	           	          	           	             	                                      	 0.73253   0.17927  -1.05160   0.13980  
      	     	          	           	          	           	             	                                      	 0.24225   0.77943   0.17129  -1.19298  

  #2	28   	-40751.08653	Yes        	4        	0.014    	0.000    	 0.32867   0.22517   0.24784   0.19832	-0.85302   0.17968   0.54421   0.12914  
      	     	          	           	          	           	             	                                      	 0.26226  -1.07006   0.19099   0.61681  
      	     	          	           	          	           	             	                                      	 0.72167   0.17352  -1.04749   0.15230  
      	     	          	           	          	           	             	                                      	 0.21402   0.70033   0.19033  -1.10468  

  #3	28   	-40076.49117	Yes        	4        	0.014    	0.000    	 0.33338   0.22363   0.23764   0.20534	-0.87351   0.14351   0.56945   0.16055  
      	     	          	           	          	           	             	                                      	 0.21395  -1.00427   0.17304   0.61729  
      	     	          	           	          	           	             	                                      	 0.79886   0.16283  -1.09655   0.13485  
      	     	          	           	          	           	             	                                      	 0.26066   0.67225   0.15607  -1.08898  

  #4	28   	-40022.39910	Yes        	4        	0.017    	0.000    	 0.33000   0.22621   0.24016   0.20363	-0.79344   0.13907   0.53149   0.12289  
      	     	          	           	          	           	             	                                      	 0.20287  -1.08076   0.17942   0.69847  
      	     	          	           	          	           	             	                                      	 0.73032   0.16900  -1.06410   0.16479  
      	     	          	           	          	           	             	                                      	 0.19915   0.77593   0.19435  -1.16944  

  #5	28   	-40141.02395	Yes        	4        	0.014    	0.000    	 0.33502   0.22231   0.24284   0.19982	-0.81543   0.13042   0.56814   0.11687  
      	     	          	           	          	           	             	                                      	 0.19654  -1.01064   0.16003   0.65407  
      	     	          	           	          	           	             	                                      	 0.78379   0.14650  -1.11900   0.18871  
      	     	          	           	          	           	             	                                      	 0.19595   0.72769   0.22934  -1.15299  

  #6	28   	-40600.99869	Yes        	4        	0.014    	0.000    	 0.33362   0.22461   0.24215   0.19963	-0.80940   0.14039   0.53473   0.13427  
